stop_name,stop_code,stop_id,stop_lat,stop_lon,stop_url
Tarnowskie Góry Wyszyńskiego,2413041-07101,3572,50.44238,18.8466,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-07101/
Tarnowskie Góry Wyszyńskiego,2413041-07102,3571,50.442318,18.849894,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-07102/
Tarnowskie Góry Łowiecka,2413041-08701,8600,50.45241,18.849796,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-08701/
Telewizja Katowice,2469011-30501,4488,50.295296,19.00544,https://rj.metropoliaztm.pl/rozklady/przystanek/2469011-30501/
Telewizja Katowice,2469011-30502,4489,50.295254,19.005102,https://rj.metropoliaztm.pl/rozklady/przystanek/2469011-30502/
Toporowice Dąbrowska,2401052-05301,8497,50.41826,19.1653,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-05301/
Toporowice Dąbrowska,2401052-05302,8498,50.418373,19.164913,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-05302/
Toporowice Gaj,2401052-05101,8495,50.424313,19.15261,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-05101/
Toporowice Gaj,2401052-05102,8496,50.42447,19.152792,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-05102/
Toporowice Gostów,2401052-03101,4007,50.417614,19.140549,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-03101/
Toporowice Gostów,2401052-03102,4006,50.41763,19.140701,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-03102/
Toporowice Kapliczka,2401052-03301,4002,50.418266,19.159887,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-03301/
Toporowice Kapliczka,2401052-03302,4003,50.418194,19.159973,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-03302/
Toporowice Skrzyżowanie,2401052-03001,4009,50.424355,19.140034,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-03001/
Toporowice Skrzyżowanie,2401052-03002,4008,50.424477,19.140217,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-03002/
Toporowice Skrzyżowanie,2401052-03003,4010,50.424923,19.139637,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-03003/
Toporowice Skrzyżowanie,2401052-03004,5693,50.42541,19.138815,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-03004/
Toporowice Łąkowa,2401052-03201,4005,50.417274,19.153233,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-03201/
Toporowice Łąkowa,2401052-03202,4004,50.417355,19.153126,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-03202/
Toporowice Źródlana,2401052-02901,4124,50.427708,19.128849,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-02901/
Toporowice Źródlana,2401052-02902,4123,50.42782,19.129112,https://rj.metropoliaztm.pl/rozklady/przystanek/2401052-02902/
Toszek,2405074-02201,5826,50.453983,18.52325,https://rj.metropoliaztm.pl/rozklady/przystanek/2405074-02201/
Toszek Dworcowa,2405074-02001,5915,50.448936,18.516098,https://rj.metropoliaztm.pl/rozklady/przystanek/2405074-02001/
Toszek Dworcowa,2405074-02002,5916,50.44909,18.515991,https://rj.metropoliaztm.pl/rozklady/przystanek/2405074-02002/
Toszek Dworzec Kolejowy,2405074-01901,5831,50.441742,18.514088,https://rj.metropoliaztm.pl/rozklady/przystanek/2405074-01901/
Toszek Ogródki Działkowe nż,2405074-04301,5900,50.45456,18.509092,https://rj.metropoliaztm.pl/rozklady/przystanek/2405074-04301/
Toszek Ogródki Działkowe nż,2405074-04302,5899,50.454136,18.508696,https://rj.metropoliaztm.pl/rozklady/przystanek/2405074-04302/
Toszek Poczta,2405074-02101,5914,50.4518,18.51672,https://rj.metropoliaztm.pl/rozklady/przystanek/2405074-02101/
Toszek Poczta,2405074-02102,5913,50.451675,18.516548,https://rj.metropoliaztm.pl/rozklady/przystanek/2405074-02102/
Toszek Północ,2405074-02601,5919,50.45753,18.534208,https://rj.metropoliaztm.pl/rozklady/przystanek/2405074-02601/
Toszek Północ,2405074-02602,5920,50.457443,18.53351,https://rj.metropoliaztm.pl/rozklady/przystanek/2405074-02602/
